"","ID","test","species","sex","experiment.type","correct.cue","speed","color","side","activity.time","inactivity.time","activity.prop","inactivity.prop","first.quadrant.prop","second.quadrant.prop","third.quadrant.prop","fourth.quadrant.prop","first.cue.time","time.until.first.cue","second.cue.time","time.until.second.cue","touch.1.cue","touch.2.cues","correct.cue.time","time.until.correct.cue","total.cue.time","time.until.first.quadrant","time.until.second.quadrant","time.until.correct.quadrant","times.resting","escape.time","escape.attemps","eating.time","eating.times","time.until.eating","cut.uncut"
"8","OC8","OC8.2","Osmia cornuta","Female","Control","Yellow left","2x","Yellow","Left",15418,884582,0.0171,0.9829,0.9935,0,0,0,0,NA,0,NA,NA,NA,0,NA,0,5824,NA,5824,1,0,0,0,0,NA,"uncut"
"9","OC9","OC9.2","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",719758,180242,0.7997,0.2003,0.4658,0.1799,0.0276,0.007,194172,332522,83138,115866,115866,448388,194172,332522,277310,261738,16652,261738,1,98174,2,0,0,NA,"uncut"
"12","OC12","OC12.2","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",698358,0,0.776,0,0.1684,0.1469,0.1603,0.1135,303040,160286,58076,81090,81090,241376,303040,160286,361116,45298,8658,45298,0,535544,9,201642,2,238436,"uncut"
"13","OC13","OC13.2","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",752228,30358,0.8358,0.0337,0.2099,0.2256,0.0605,0.1076,265974,124328,87234,88794,88794,213122,265974,124328,353208,63100,59678,63100,2,578118,18,117414,1,276584,"uncut"
"14","OC14","OC14.2","Osmia cornuta","Male","Control","Yellow right","2x","Yellow","Right",449798,230752,0.4998,0.2564,0.1219,0.0062,0.5308,0.3153,840,100830,0,NA,100830,NA,0,NA,840,37914,46070,46070,4,508272,6,0,0,NA,"uncut"
"15","OC15","OC15.2","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",854256,45744,0.9492,0.0508,0.2058,0.1823,0.3366,0.1229,39314,104132,41018,73542,73542,177674,41018,73542,80332,99972,65636,65636,1,772812,11,0,0,NA,"uncut"
"16","OC16","OC16.2","Osmia cornuta","Male","Treatment","Yellow right","2x","Yellow","Right",6838,52144,0.1159,0.8841,0,0,0,0,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,1,0,0,0,0,NA,"uncut"
"17","OC17","OC17.2","Osmia cornuta","Male","Control","Yellow right","2x","Yellow","Right",174874,0,1,0,0.013,0.1183,0.4081,0,0,NA,0,NA,NA,NA,0,NA,0,151918,154190,154190,0,0,0,0,0,NA,"uncut"
"19","OC19","OC19.2","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",662256,1216,0.7358,0.0014,0.2271,0.1544,0.0685,0.0418,21982,160636,414188,292508,160636,453144,414188,292508,436170,21212,244748,244748,1,236182,11,236528,2,304860,"uncut"
"20","OC20","OC20.2","Osmia cornuta","Female","Treatment","Blue right","2x","Blue","Right",866806,33194,0.9631,0.0369,0.5173,0.1981,0.2039,0.0273,31850,84282,9342,91396,84282,175678,9342,91396,41192,20026,6892,6892,2,567714,16,0,0,NA,"uncut"
"21","OC21","OC21.2","Osmia cornuta","Male","Control","Blue right","2x","Blue","Right",692004,69516,0.7689,0.0772,0.1399,0.1527,0.1106,0.0989,0,NA,438208,431104,431104,NA,438208,431104,438208,9932,117492,117492,5,161582,5,134062,1,486928,"uncut"
"22","OC22","OC22.2","Osmia cornuta","Female","Control","Blue right","2x","Blue","Right",805824,1798,0.8954,0.002,0.0338,0.1343,0.2326,0.0205,10212,40298,500654,141606,40298,181904,500654,141606,510866,31236,50616,50616,1,379556,4,92378,3,432564,"uncut"
"23","OC23","OC23.2","Osmia cornuta","Male","Treatment","Blue right","2x","Blue","Right",753492,23038,0.8372,0.0256,0.1398,0.3003,0.1461,0.1576,21238,10104,205038,132936,10104,143040,205038,132936,226276,4312,129800,129800,5,444510,9,123470,2,496422,"uncut"
"24","OC24","OC24.2","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",570216,329784,0.6336,0.3664,0.1509,0.1918,0.5582,0.0504,21944,21050,15590,65812,21050,86862,21944,21050,37534,18074,6196,18074,1,505308,22,0,0,NA,"uncut"
"25","OC25","OC25.2","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",782362,0,0.8693,0,0.1495,0.2082,0.173,0.1007,27410,409064,292416,56770,56770,465834,292416,56770,319826,17080,11878,11878,0,628078,24,117638,3,106938,"uncut"
"26","OC26","OC26.2","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",807558,92442,0.8973,0.1027,0.2974,0.2885,0.1139,0.1678,11992,174114,47306,180378,174114,354492,47306,180378,59298,100638,106278,106278,3,752076,13,0,0,NA,"uncut"
"27","OC27","OC27.2","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",662114,56684,0.7357,0.063,0.2431,0.146,0.0352,0.0536,27564,34338,412816,128614,34338,162952,412816,128614,440380,29532,75608,75608,2,186478,4,181202,1,138046,"uncut"
"28","OC28","OC28.2","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",779188,120812,0.8658,0.1342,0.1482,0.263,0.1833,0.2263,53228,99534,18214,113606,99534,213140,53228,99534,71442,89846,103254,89846,4,682778,27,0,0,NA,"uncut"
"29","OC29","OC29.2","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",751534,84838,0.835,0.0943,0.1458,0.3111,0.0196,0.1929,197218,201168,49196,56672,56672,257840,197218,201168,246414,199292,51120,199292,2,638174,15,63628,1,214170,"uncut"
"30","OC30","OC30.2","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",734048,43658,0.8156,0.0485,0.2267,0.2046,0.0942,0.059,294190,84518,16610,399406,84518,483924,294190,84518,310800,81432,306820,81432,2,574860,15,122294,1,89618,"uncut"
"31","OC31","OC31.2","Osmia cornuta","Female","Control","Yellow left","2x","Yellow","Left",702698,197302,0.7808,0.2192,0.2183,0.1875,0.3843,0.1083,58154,64986,27844,71864,64986,136850,58154,64986,85998,63214,69562,63214,2,668334,13,0,0,NA,"uncut"
